Quiz Title,Quiz Description,Max Retries,Publish Date,Closing Date,Question Order,Question Title,Difficulty,Time Limit,Has Penalty,Is Strict Multiple Choice,Option Order,Option Text,Is Correct,Is Free Text
All Question Types Demo,Sample quiz containing every supported question type,2,,,1,Single choice question,1,60,False,False,1,Paris,True,False
All Question Types Demo,Sample quiz containing every supported question type,2,,,1,Single choice question,1,60,False,False,2,London,False,False
All Question Types Demo,Sample quiz containing every supported question type,2,,,1,Single choice question,1,60,False,False,3,Berlin,False,False
All Question Types Demo,Sample quiz containing every supported question type,2,,,2,Multiple choice question,2,90,True,False,1,2 is an even number,True,False
All Question Types Demo,Sample quiz containing every supported question type,2,,,2,Multiple choice question,2,90,True,False,2,3 is an odd number,True,False
All Question Types Demo,Sample quiz containing every supported question type,2,,,2,Multiple choice question,2,90,True,False,3,4 is an odd number,False,False
All Question Types Demo,Sample quiz containing every supported question type,2,,,3,Strict multiple choice question,3,120,True,True,1,HTTP GET should be safe,True,False
All Question Types Demo,Sample quiz containing every supported question type,2,,,3,Strict multiple choice question,3,120,True,True,2,HTTP POST is commonly used to create resources,True,False
All Question Types Demo,Sample quiz containing every supported question type,2,,,3,Strict multiple choice question,3,120,True,True,3,HTTP DELETE is always cacheable,False,False
All Question Types Demo,Sample quiz containing every supported question type,2,,,4,Free text question with suggested solution,2,180,False,False,1,A class is a blueprint for creating objects,True,True
